Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Strength training duration (ms)
00:00:00.000+05:30,00:15:00.000+05:30,,19.200520957509674,,,,87.5,88.0,87.0,,,,10,,,,
00:15:00.000+05:30,00:30:00.000+05:30,,19.200520957509674,,,,84.25,92.0,81.0,,,,10,,,,
00:30:00.000+05:30,00:45:00.000+05:30,,19.200520957509674,,,,88.25,95.0,83.0,,,,10,,,,
00:45:00.000+05:30,01:00:00.000+05:30,,19.200520957509674,,,,89.5,100.0,76.0,,,,10,,,,
01:00:00.000+05:30,01:15:00.000+05:30,,19.200520957509674,,,,91.75,100.0,85.0,,,,10,,,,
01:15:00.000+05:30,01:30:00.000+05:30,,19.200520957509674,,,,87.5,96.0,74.0,,,,10,,,,
01:30:00.000+05:30,01:45:00.000+05:30,,19.200520957509674,,,,85.5,99.0,80.0,,,,10,,,,
01:45:00.000+05:30,02:00:00.000+05:30,,19.200520957509674,,,,73.0,74.0,71.0,,,,10,,,,
02:00:00.000+05:30,02:15:00.000+05:30,,19.200520957509674,,,,83.0,89.0,77.0,,,,10,,,,
02:15:00.000+05:30,02:30:00.000+05:30,,19.200520957509674,,,,71.0,81.0,67.0,,,,10,,,,
02:30:00.000+05:30,02:45:00.000+05:30,,19.200520957509674,,,,64.75,65.0,64.0,,,,10,,,,
02:45:00.000+05:30,03:00:00.000+05:30,,19.200520957509674,,,,65.0,67.0,64.0,,,,10,,,,
03:00:00.000+05:30,03:15:00.000+05:30,,19.200520957509674,,,,59.75,62.0,58.0,,,,10,,,,
03:15:00.000+05:30,03:30:00.000+05:30,,19.200520957509674,,,,61.0,62.0,59.0,,,,10,,,,
03:30:00.000+05:30,03:45:00.000+05:30,,19.200520957509674,,,,59.0,60.0,58.0,,,,10,,,,
03:45:00.000+05:30,04:00:00.000+05:30,,19.200520957509674,,,,58.0,58.0,58.0,,,,10,,,,
04:00:00.000+05:30,04:15:00.000+05:30,,19.200520957509674,,,,60.0,63.0,56.0,,,,10,,,,
04:15:00.000+05:30,04:30:00.000+05:30,,19.200520957509674,,,,69.5,72.0,66.0,,,,10,,,,
04:30:00.000+05:30,04:45:00.000+05:30,,19.200520957509674,,,,60.0,63.0,57.0,,,,10,,,,
04:45:00.000+05:30,05:00:00.000+05:30,,19.200520957509674,,,,61.5,62.0,60.0,,,,10,,,,
05:00:00.000+05:30,05:15:00.000+05:30,,19.200520957509674,,,,57.75,59.0,56.0,,,,10,,,,
05:15:00.000+05:30,05:30:00.000+05:30,,19.200520957509674,,,,57.0,59.0,56.0,,,,10,,,,
05:30:00.000+05:30,05:45:00.000+05:30,,19.200520957509674,,,,59.0,60.0,58.0,,,,10,,,,
05:45:00.000+05:30,06:00:00.000+05:30,,19.200520957509674,,,,57.75,60.0,57.0,,,,10,,,,
06:00:00.000+05:30,06:15:00.000+05:30,,19.200520957509674,,,,55.0,57.0,54.0,,,,10,,,,
06:15:00.000+05:30,06:30:00.000+05:30,,19.200520957509674,,,,56.25,58.0,53.0,,,,10,,,,
06:30:00.000+05:30,06:45:00.000+05:30,,19.200520957509674,,,,54.75,61.0,51.0,,,,10,,,,
06:45:00.000+05:30,07:00:00.000+05:30,,19.200520957509674,,,,56.75,59.0,56.0,,,,10,,,,
07:00:00.000+05:30,07:15:00.000+05:30,,19.200520957509674,,,,58.75,59.0,58.0,,,,10,,,,
07:15:00.000+05:30,07:30:00.000+05:30,,19.200520957509674,,,,83.5,108.0,60.0,,,,10,,,,
07:30:00.000+05:30,07:45:00.000+05:30,,19.200520957509674,,,,70.0,74.0,66.0,,,,10,,,,
07:45:00.000+05:30,08:00:00.000+05:30,,19.200520957509674,,,,62.5,72.0,57.0,,,,10,,,,
08:00:00.000+05:30,08:15:00.000+05:30,,19.200520957509674,,,,65.5,76.0,58.0,,,,10,,,,
08:15:00.000+05:30,08:30:00.000+05:30,,19.200520957509674,,,,66.5,71.0,62.0,,,,10,,,,
08:30:00.000+05:30,08:45:00.000+05:30,,19.200520957509674,,,,70.0,103.0,56.0,,,,10,,,,
08:45:00.000+05:30,09:00:00.000+05:30,,19.200520957509674,,,,88.0,88.0,88.0,,,,10,,,,
09:00:00.000+05:30,09:15:00.000+05:30,,19.200520957509674,,,,,,,,,,10,,,,
09:15:00.000+05:30,09:30:00.000+05:30,,19.200520957509674,,,,52.0,52.0,52.0,,,,30,,,,
09:30:00.000+05:30,09:45:00.000+05:30,,19.200520957509674,,,,91.5,94.0,89.0,,,,90,,,,
09:45:00.000+05:30,10:00:00.000+05:30,,19.200520957509674,,,,100.0,100.0,100.0,,,,90,,,,
10:00:00.000+05:30,10:15:00.000+05:30,,19.200520957509674,,,,90.0,99.0,81.0,,,,126,,,,
10:15:00.000+05:30,10:30:00.000+05:30,8,72.50670396463691,0.0,8.0,8,75.25,100.0,63.0,,,,274,,,,525000
10:30:00.000+05:30,10:45:00.000+05:30,15,110.58254896972781,0.0,15.0,15,105.5,109.0,103.0,,,,274,,,,900000
10:45:00.000+05:30,11:00:00.000+05:30,15,110.58254896972781,0.0,15.0,15,100.5,104.0,96.0,0.0,0.0,0.0,274,,,,900000
11:00:00.000+05:30,11:15:00.000+05:30,15,110.58254896972781,0.0,15.0,15,102.5,106.0,96.0,,,,274,,,,900000
11:15:00.000+05:30,11:30:00.000+05:30,11,90.88464515376079,0.0,11.0,11,102.5,107.0,99.0,,,,274,,,,706000
11:30:00.000+05:30,11:45:00.000+05:30,,19.200520957509674,,,,100.75,106.0,92.0,,,,274,,,,
11:45:00.000+05:30,12:00:00.000+05:30,,19.200520957509674,,,,94.75,99.0,82.0,,,,274,,,,
12:00:00.000+05:30,12:15:00.000+05:30,,19.200520957509674,,,,94.5,100.0,90.0,,,,274,,,,
12:15:00.000+05:30,12:30:00.000+05:30,,19.200520957509674,,,,89.0,99.0,83.0,,,,252,,,,
12:30:00.000+05:30,12:45:00.000+05:30,,19.200520957509674,,,,97.25,100.0,91.0,,,,31,,,,
12:45:00.000+05:30,13:00:00.000+05:30,,19.200520957509674,,,,87.0,90.0,84.0,,,,31,,,,
13:00:00.000+05:30,13:15:00.000+05:30,,19.200520957509674,,,,,,,,,,31,,,,
13:15:00.000+05:30,13:30:00.000+05:30,,19.200520957509674,,,,68.0,68.0,68.0,,,,31,,,,
13:30:00.000+05:30,13:45:00.000+05:30,,19.200520957509674,,,,90.25,99.0,72.0,,,,56,,,,
13:45:00.000+05:30,14:00:00.000+05:30,,19.200520957509674,,,,87.25,93.0,72.0,,,,59,,,,
14:00:00.000+05:30,14:15:00.000+05:30,,19.200520957509674,,,,94.0,95.0,93.0,,,,52,,,,
14:15:00.000+05:30,14:30:00.000+05:30,,19.200520957509674,,,,88.25,97.0,83.0,,,,25,,,,
14:30:00.000+05:30,14:45:00.000+05:30,,19.200520957509674,,,,96.25,100.0,92.0,,,,25,,,,
14:45:00.000+05:30,15:00:00.000+05:30,,19.200520957509674,,,,83.75,94.0,74.0,,,,25,,,,
15:00:00.000+05:30,15:15:00.000+05:30,,19.200520957509674,,,,91.25,94.0,85.0,,,,26,,,,
15:15:00.000+05:30,15:30:00.000+05:30,,19.200520957509674,,,,88.0,98.0,84.0,,,,57,,,,
15:30:00.000+05:30,15:45:00.000+05:30,,19.200520957509674,,,,92.25,98.0,84.0,,,,57,,,,
15:45:00.000+05:30,16:00:00.000+05:30,,19.200520957509674,,,,89.25,91.0,88.0,,,,57,,,,
16:00:00.000+05:30,16:15:00.000+05:30,,19.200520957509674,,,,95.75,105.0,86.0,,,,55,,,,
16:15:00.000+05:30,16:30:00.000+05:30,,19.200520957509674,,,,94.0,99.0,86.0,,,,12,,,,
16:30:00.000+05:30,16:45:00.000+05:30,,19.200520957509674,,,,92.0,93.0,91.0,,,,12,,,,
16:45:00.000+05:30,17:00:00.000+05:30,,19.200520957509674,,,,89.25,92.0,87.0,,,,12,,,,
17:00:00.000+05:30,17:15:00.000+05:30,,19.200520957509674,,,,89.75,92.0,89.0,,,,12,,,,
17:15:00.000+05:30,17:30:00.000+05:30,,19.200520957509674,,,,90.5,93.0,83.0,,,,5,,,,
17:30:00.000+05:30,17:45:00.000+05:30,,19.200520957509674,,,,84.75,88.0,79.0,,,,3,,,,
17:45:00.000+05:30,18:00:00.000+05:30,,19.200520957509674,,,,83.75,89.0,80.0,,,,3,,,,
18:00:00.000+05:30,18:15:00.000+05:30,,19.200520957509674,,,,84.0,85.0,83.0,,,,3,,,,
18:15:00.000+05:30,18:30:00.000+05:30,,19.200520957509674,,,,75.0,75.0,75.0,,,,3,,,,
18:30:00.000+05:30,18:45:00.000+05:30,,19.200520957509674,,,,,,,,,,3,,,,
18:45:00.000+05:30,19:00:00.000+05:30,,19.200520957509674,,,,79.0,80.0,76.0,,,,3,,,,
19:00:00.000+05:30,19:15:00.000+05:30,,19.200520957509674,,,,87.75,91.0,85.0,,,,3,,,,
19:15:00.000+05:30,19:30:00.000+05:30,,19.200520957509674,,,,93.0,94.0,90.0,,,,3,,,,
19:30:00.000+05:30,19:45:00.000+05:30,,19.200520957509674,,,,84.75,90.0,82.0,,,,32,,,,
19:45:00.000+05:30,20:00:00.000+05:30,,19.200520957509674,,,,82.75,87.0,77.0,,,,32,,,,
20:00:00.000+05:30,20:15:00.000+05:30,,19.200520957509674,,,,79.25,82.0,77.0,,,,32,,,,
20:15:00.000+05:30,20:30:00.000+05:30,,19.200520957509674,,,,91.5,99.0,82.0,,,,32,,,,
20:30:00.000+05:30,20:45:00.000+05:30,,19.200520957509674,,,,89.75,104.0,65.0,,,,40,,,,
20:45:00.000+05:30,21:00:00.000+05:30,,19.200520957509674,,,,,,,,,,42,,,,
21:00:00.000+05:30,21:15:00.000+05:30,,19.200520957509674,,,,84.5,85.0,84.0,,,,42,,,,
21:15:00.000+05:30,21:30:00.000+05:30,,19.200520957509674,,,,83.75,88.0,77.0,,,,42,,,,
21:30:00.000+05:30,21:45:00.000+05:30,,19.200520957509674,,,,85.5,89.0,78.0,,,,42,,,,
21:45:00.000+05:30,22:00:00.000+05:30,,19.200520957509674,,,,87.0,91.0,85.0,,,,42,,,,
22:00:00.000+05:30,22:15:00.000+05:30,,19.200520957509674,,,,86.0,86.0,86.0,,,,42,,,,
22:15:00.000+05:30,22:30:00.000+05:30,,19.200520957509674,,,,95.0,102.0,74.0,,,,42,,,,
22:30:00.000+05:30,22:45:00.000+05:30,,19.200520957509674,,,,94.0,105.0,73.0,,,,21,,,,
22:45:00.000+05:30,23:00:00.000+05:30,,19.200520957509674,,,,72.25,74.0,70.0,,,,11,,,,
23:00:00.000+05:30,23:15:00.000+05:30,,19.200520957509674,,,,96.0,98.0,92.0,,,,11,,,,
23:15:00.000+05:30,23:30:00.000+05:30,,19.200520957509674,,,,99.75,105.0,94.0,,,,11,,,,
23:30:00.000+05:30,23:45:00.000+05:30,,19.200520957509674,,,,98.0,103.0,94.0,,,,9,,,,
23:45:00.000+05:30,00:00:00.000+05:30,,19.200520957509674,,,,92.0,94.0,88.0,,,,,,,,
