Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Strength training duration (ms)
00:00:00.000+05:30,00:15:00.000+05:30,,19.200520957509678,,,,83.5,101.0,69.0,,,,25,,,,
00:15:00.000+05:30,00:30:00.000+05:30,,19.200520957509678,,,,94.0,99.0,84.0,,,,25,,,,
00:30:00.000+05:30,00:45:00.000+05:30,,19.200520957509678,,,,90.75,95.0,88.0,,,,25,,,,
00:45:00.000+05:30,01:00:00.000+05:30,,19.200520957509678,,,,91.5,92.0,90.0,,,,25,,,,
01:00:00.000+05:30,01:15:00.000+05:30,,19.200520957509678,,,,92.5,94.0,92.0,,,,25,,,,
01:15:00.000+05:30,01:30:00.000+05:30,,19.200520957509678,,,,99.25,105.0,91.0,,,,25,,,,
01:30:00.000+05:30,01:45:00.000+05:30,,19.200520957509678,,,,93.0,96.0,90.0,,,,25,,,,
01:45:00.000+05:30,02:00:00.000+05:30,,19.200520957509678,,,,90.0,94.0,84.0,,,,25,,,,
02:00:00.000+05:30,02:15:00.000+05:30,,19.200520957509678,,,,85.75,88.0,81.0,,,,25,,,,
02:15:00.000+05:30,02:30:00.000+05:30,,19.200520957509678,,,,83.75,90.0,69.0,,,,25,,,,
02:30:00.000+05:30,02:45:00.000+05:30,,19.200520957509678,,,,85.0,86.0,84.0,,,,25,,,,
02:45:00.000+05:30,03:00:00.000+05:30,,19.200520957509678,,,,83.75,94.0,80.0,,,,25,,,,
03:00:00.000+05:30,03:15:00.000+05:30,,19.200520957509678,,,,83.0,83.0,83.0,,,,25,,,,
03:15:00.000+05:30,03:30:00.000+05:30,,19.200520957509678,,,,99.0,99.0,99.0,,,,25,,,,
03:30:00.000+05:30,03:45:00.000+05:30,,19.200520957509678,,,,76.25,80.0,74.0,,,,25,,,,
03:45:00.000+05:30,04:00:00.000+05:30,,19.200520957509678,,,,69.25,71.0,65.0,,,,25,,,,
04:00:00.000+05:30,04:15:00.000+05:30,,19.200520957509678,,,,63.75,65.0,63.0,,,,25,,,,
04:15:00.000+05:30,04:30:00.000+05:30,,19.200520957509678,,,,66.25,84.0,60.0,,,,25,,,,
04:30:00.000+05:30,04:45:00.000+05:30,,19.200520957509678,,,,64.25,67.0,59.0,,,,25,,,,
04:45:00.000+05:30,05:00:00.000+05:30,,19.200520957509678,,,,83.0,110.0,56.0,,,,25,,,,
05:00:00.000+05:30,05:15:00.000+05:30,,19.200520957509678,,,,64.5,68.0,62.0,,,,25,,,,
05:15:00.000+05:30,05:30:00.000+05:30,,19.200520957509678,,,,73.5,95.0,63.0,,,,25,,,,
05:30:00.000+05:30,05:45:00.000+05:30,,19.200520957509678,,,,66.25,75.0,62.0,,,,25,,,,
05:45:00.000+05:30,06:00:00.000+05:30,,19.200520957509678,,,,76.0,95.0,59.0,,,,25,,,,
06:00:00.000+05:30,06:15:00.000+05:30,,19.200520957509678,,,,61.25,75.0,56.0,,,,25,,,,
06:15:00.000+05:30,06:30:00.000+05:30,,19.200520957509678,,,,56.5,57.0,55.0,,,,25,,,,
06:30:00.000+05:30,06:45:00.000+05:30,,19.200520957509678,,,,55.25,56.0,55.0,,,,25,,,,
06:45:00.000+05:30,07:00:00.000+05:30,,19.200520957509678,,,,64.0,66.0,62.0,,,,25,,,,
07:00:00.000+05:30,07:15:00.000+05:30,,19.200520957509678,,,,57.0,61.0,53.0,,,,25,,,,
07:15:00.000+05:30,07:30:00.000+05:30,,19.200520957509678,,,,57.25,58.0,55.0,,,,25,,,,
07:30:00.000+05:30,07:45:00.000+05:30,,19.200520957509678,,,,59.0,62.0,55.0,,,,25,,,,
07:45:00.000+05:30,08:00:00.000+05:30,,19.200520957509678,,,,54.5,57.0,53.0,,,,25,,,,
08:00:00.000+05:30,08:15:00.000+05:30,,19.200520957509678,,,,72.75,92.0,49.0,,,,25,,,,
08:15:00.000+05:30,08:30:00.000+05:30,,19.200520957509678,,,,68.75,88.0,61.0,,,,25,,,,
08:30:00.000+05:30,08:45:00.000+05:30,,19.200520957509678,,,,68.75,71.0,62.0,,,,25,,,,
08:45:00.000+05:30,09:00:00.000+05:30,,19.200520957509678,,,,74.25,78.0,65.0,,,,25,,,,
09:00:00.000+05:30,09:15:00.000+05:30,,19.200520957509678,,,,56.5,57.0,56.0,,,,25,,,,
09:15:00.000+05:30,09:30:00.000+05:30,,19.200520957509678,,,,55.25,60.0,53.0,,,,25,,,,
09:30:00.000+05:30,09:45:00.000+05:30,,19.200520957509678,,,,55.75,60.0,54.0,,,,25,,,,
09:45:00.000+05:30,10:00:00.000+05:30,,19.200520957509678,,,,56.25,63.0,52.0,,,,25,,,,
