Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Walking duration (ms)
14:00:00.000+05:30,14:15:00.000+05:30,,19.200520957509678,,,,,,,,,,174,,,,
14:15:00.000+05:30,14:30:00.000+05:30,,19.200520957509678,,,,,,,,,,174,,,,
14:30:00.000+05:30,14:45:00.000+05:30,,19.200520957509678,,,,,,,,,,174,,,,
14:45:00.000+05:30,15:00:00.000+05:30,,19.200520957509678,,,,,,,,,,174,,,,
15:00:00.000+05:30,15:15:00.000+05:30,,19.200520957509678,,,,,,,,,,174,,,,
15:15:00.000+05:30,15:30:00.000+05:30,,19.200520957509678,,,,86.0,94.0,74.0,,,,174,,,,
15:30:00.000+05:30,15:45:00.000+05:30,,19.200520957509678,,,,93.75,98.0,83.0,,,,174,,,,
15:45:00.000+05:30,16:00:00.000+05:30,,19.200520957509678,,,,93.0,98.0,90.0,,,,160,,,,
16:00:00.000+05:30,16:15:00.000+05:30,,19.200520957509678,,,,101.5,103.0,99.0,,,,62,,,,
16:15:00.000+05:30,16:30:00.000+05:30,,19.200520957509678,,,,95.75,105.0,90.0,,,,62,,,,
16:30:00.000+05:30,16:45:00.000+05:30,,19.200520957509678,,,,104.25,109.0,94.0,,,,62,,,,
16:45:00.000+05:30,17:00:00.000+05:30,,19.200520957509674,,,,95.25,100.0,93.0,,,,61,,,,
17:00:00.000+05:30,17:15:00.000+05:30,,19.200520957509678,,,,87.75,101.0,74.0,,,,46,,,,
17:15:00.000+05:30,17:30:00.000+05:30,,19.200520957509678,,,,90.5,103.0,85.0,,,,46,,,,
17:30:00.000+05:30,17:45:00.000+05:30,,19.200520957509678,,,,98.75,105.0,84.0,,,,46,,,,
17:45:00.000+05:30,18:00:00.000+05:30,,19.200520957509678,,,,100.75,105.0,99.0,,,,55,,,,
18:00:00.000+05:30,18:15:00.000+05:30,,19.200520957509674,,,,101.75,104.0,99.0,,,,136,,,,
18:15:00.000+05:30,18:30:00.000+05:30,,19.200520957509674,,,,,,,,,,136,,,,
18:30:00.000+05:30,18:45:00.000+05:30,,19.200520957509674,,,,,,,,,,136,,,,
18:45:00.000+05:30,19:00:00.000+05:30,,19.200520957509674,,,,97.75,103.0,94.0,,,,136,,,,
19:00:00.000+05:30,19:15:00.000+05:30,,19.200520957509674,,,,82.0,82.0,82.0,,,,136,,,,
19:15:00.000+05:30,19:30:00.000+05:30,,19.200520957509674,,,,85.75,106.0,67.0,,,,136,,,,
19:30:00.000+05:30,19:45:00.000+05:30,,19.200520957509674,,,,94.25,96.0,91.0,,,,136,,,,
19:45:00.000+05:30,20:00:00.000+05:30,,19.200520957509674,,,,90.0,94.0,88.0,,,,136,,,,
20:00:00.000+05:30,20:15:00.000+05:30,,19.200520957509674,,,,89.5,92.0,85.0,,,,136,,,,
20:15:00.000+05:30,20:30:00.000+05:30,,19.200520957509674,,,,81.25,85.0,71.0,,,,136,,,,
20:30:00.000+05:30,20:45:00.000+05:30,,19.200520957509674,,,,80.5,87.0,74.0,,,,46,,,,
20:45:00.000+05:30,21:00:00.000+05:30,,19.200520957509674,,,,87.5,98.0,70.0,,,,11,,,,
21:00:00.000+05:30,21:15:00.000+05:30,,19.200520957509674,,,,74.75,83.0,71.0,,,,11,,,,
21:15:00.000+05:30,21:30:00.000+05:30,,19.200520957509674,,,,75.75,80.0,73.0,,,,11,,,,
21:30:00.000+05:30,21:45:00.000+05:30,,19.200520957509674,,,,77.25,80.0,73.0,,,,11,,,,
21:45:00.000+05:30,22:00:00.000+05:30,,19.200520957509674,,,,85.0,92.0,76.0,,,,11,,,,
22:00:00.000+05:30,22:15:00.000+05:30,,19.200520957509674,,,,74.75,82.0,72.0,,,,8,,,,
22:15:00.000+05:30,22:30:00.000+05:30,,19.200520957509674,,,,78.5,81.0,73.0,,,,8,,,,
22:30:00.000+05:30,22:45:00.000+05:30,,19.200520957509674,,,,91.5,98.0,86.0,,,,8,,,,
22:45:00.000+05:30,23:00:00.000+05:30,,19.200520957509674,,,,81.5,89.0,64.0,,,,8,,,,
23:00:00.000+05:30,23:15:00.000+05:30,,19.200520957509678,,,,92.5,95.0,87.0,,,,0,,,,
23:15:00.000+05:30,23:30:00.000+05:30,,19.200520957509678,,,,104.25,111.0,90.0,,,,,,,,
23:30:00.000+05:30,23:45:00.000+05:30,,19.200520957509678,,,,109.0,117.0,99.0,,,,,,,,
23:45:00.000+05:30,00:00:00.000+05:30,,19.200520957509678,,,,,,,,,,,,,,
